,feature,gain,split
0,app,47.36377715721295,529
3,channel,12.74271040763798,699
23,next_click_0,11.222077587779175,325
15,ip_app_count,5.74605567412586,87
2,os,5.515335680879,534
9,X4,4.951086257642036,88
5,X0,3.1854535383379243,126
13,X8,2.179146846384954,83
8,X3,1.6503544942058384,96
24,next_click_3,0.8572287891207749,49
1,device,0.7499241369442985,77
14,ip_tcount,0.7440474620702163,90
4,hour,0.6165858530938089,241
16,ip_app_os_count,0.3861596818625172,65
7,X2,0.3752262704442314,39
6,X1,0.32015263620166673,54
10,X5,0.31421527628955276,58
11,X6,0.2993433601695415,35
20,channel_day_hour_var,0.2928428901229761,40
12,X7,0.23576622904545483,70
22,ip_device_countuniq,0.1588104253489165,26
17,ip_app_channel_mean_hour,0.05447541557343277,42
18,ip_app_channel_var_hour,0.03188289741816508,32
21,ip_channel_app_countuniq,0.005241367792755415,4
19,device_day_var,0.0020996642959760408,3
