,feature,gain,split
0,app,57.548741389397875,1272
9,X4,9.612142020182423,256
15,ip_app_count,9.49686556704176,256
3,channel,5.453049102344417,2040
22,next_click_0,4.8102852143486015,567
2,os,2.0981965212977323,1528
5,X0,1.7685266269586088,241
25,next_click_3,1.6572404167952726,145
28,next_click_6,1.1563909557285563,174
13,X8,1.1148856579815858,289
1,device,0.8951084811610928,133
4,hour,0.823637388949555,1188
8,X3,0.739245365533642,241
27,next_click_5,0.6264982799174281,260
14,ip_tcount,0.4359365454524213,234
10,X5,0.4067165168456198,248
11,X6,0.29691006002573606,168
6,X1,0.26836723706723964,126
16,ip_app_os_count,0.2284256766896159,203
7,X2,0.2238215417915614,161
21,ip_device_countuniq,0.19754037000075467,95
24,next_click_2,0.05163075201671391,31
12,X7,0.05068978014906064,110
20,ip_channel_app_countuniq,0.014083500304856073,61
23,next_click_1,0.012280451105973457,9
18,device_day_hour_countuniq,0.0061784760316162075,30
19,channel_day_hour_countuniq,0.005631300492334351,29
17,device_day_countuniq,0.0006525367027354103,2
26,next_click_4,0.00032226768520400833,4
